,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,github_release_downloads,monthly_downloads
64,Face Mask Detector,https://github.com/virtualramblas/streamlit-face-mask-detector,virtualramblas/streamlit-face-mask-detector,cv,True,https://github.com/virtualramblas/streamlit-face-mask-detector,,2020-05-17 20:15:19,2020-11-13 18:51:20,2020-05-18 17:04:25,8.0,,2.0,7.0,7.0,,,,A simple Streamlit frontend for a pre-trained MobileNet CNN model + OpenCV for face mask detection in images.,,,,6,3,https://github.com/virtualramblas/streamlit-face-mask-detector/raw/master/images/demo_image.PNG,,
65,Resume App,http://54.147.143.114:8501/,alphadatagamma/Streamlit-Resume-App,non-ml,True,https://github.com/alphadatagamma/Streamlit-Resume-App,,2020-06-29 02:04:12,2020-07-30 03:05:17,2020-07-30 03:04:06,4.0,,,7.0,14.0,,,,Interactive resume created on Streamlit and hosted on AWS EC2.,,,,5,3,,,
66,Text Insights,https://github.com/robmarkcole/text-insights-app,robmarkcole/text-insights-app,cv,True,https://github.com/robmarkcole/text-insights-app,Apache-2.0,2020-05-27 02:37:50,2021-01-08 05:32:56,2021-01-08 05:32:52,4.0,2.0,1.0,6.0,23.0,,,,"Upload an image of a document and extract text, names, facts and figures.",,,2.0,8,2,https://github.com/robmarkcole/text-insights-app/raw/master/assets/usage.jpg,,
67,Lottie,https://share.streamlit.io/andfanilo/streamlit-lottie-demo/master/app.py,andfanilo/streamlit-lottie,extension,True,https://github.com/andfanilo/streamlit-lottie,Apache-2.0,2020-11-15 22:58:44,2021-01-12 16:15:02,2021-01-12 16:13:46,1.0,,,6.0,,,,,Streamlit component to render Lottie animations.,1.0,1.0,,6,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5ff89ebd92caec4726522fd7_Streamlit-Logo-Animation-1000100.gif,,
68,Picture-lytics,https://github.com/KimaruThagna/Picture-lytics,KimaruThagna/Picture-lytics,cv,True,https://github.com/KimaruThagna/Picture-lytics,,2020-04-25 12:32:03,2020-04-29 19:20:10,2020-04-29 19:14:09,3.0,,,6.0,21.0,,,,Using Google's teachable machine to generate an image classification model and serving the model via streamlit. The..,,,2.0,5,3,,,
69,Gravitational Wave App,https://share.streamlit.io/jkanner/streamlit-dataview/app.py,jkanner/streamlit-dataview,sci-tech,True,https://github.com/jkanner/streamlit-dataview,,2020-07-22 21:10:35,2020-12-04 21:40:35,2020-12-04 21:40:35,6.0,,2.0,5.0,41.0,,,,Streamlit viewer for GW data.,,,2.0,6,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fe3b32bb3d503528eac8707_image.jpg,,
70,HTML Table Scraper,https://github.com/CharlyWargnier/python-html-table-scraper,CharlyWargnier/python-html-table-scraper,non-ml,True,https://github.com/CharlyWargnier/python-html-table-scraper,,2020-07-10 10:43:07,2021-01-07 23:41:03,2020-07-10 13:24:02,5.0,,,5.0,13.0,,,,A simple HTML table scraper made with Python and the amazing Streamlit!.,,,,6,2,,,
71,Covid Tracking,https://share.streamlit.io/panditpranav/svm_covid_tracking/main/COVID_app.py,PanditPranav/SVM_COVID_tracking,sci-tech,True,https://github.com/PanditPranav/SVM_COVID_tracking,,2020-06-14 02:48:44,2020-12-06 07:07:54,2020-11-28 21:09:38,5.0,,1.0,4.0,54.0,,,,COVID Tracking app for data in Northern California.,,,3.0,7,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fb670b335879e9b9f2e71be_covid.jpg,,
72,Plant Disease Detection,https://bot-beats-ml-app.herokuapp.com/,AmeyaUpalanchi/streamlit-tensorflow-ml-app,cv,True,https://github.com/AmeyaUpalanchi/streamlit-tensorflow-ml-app,MIT,2020-08-18 10:10:36,2020-10-28 11:44:20,2020-10-28 11:44:19,1.0,1.0,,4.0,25.0,,,,Web App for Plant Disease Detection using Tensorflow and streamlit.,,,,6,3,,,
73,Deep Dream,https://github.com/streamlit/demo-deepdream,streamlit/demo-deepdream,demo,True,https://github.com/streamlit/demo-deepdream,Apache-2.0,2020-10-02 23:36:34,2020-10-02 23:37:42,2020-09-26 00:31:54,3.0,,,3.0,19.0,,,,A Streamlit demo demonstrating the Deep Dream technique. Adapted from the TensorFlow Deep Dream tutorial.,,,,6,3,https://assets.website-files.com/5dc3b47ddc6c0c2a1af74ad0/5ede25309928736fdf811d24_5e1115355aa398cf5ffd5c4e_deep_dream_website_large.gif,,
74,Music Generation,https://neuralpiano.herokuapp.com/,Sohaib90/Music_Gen_Streamlit,audio,True,https://github.com/Sohaib90/Music_Gen_Streamlit,,2020-03-31 11:15:35,2020-05-03 12:48:18,2020-05-03 12:46:00,,1.0,1.0,3.0,47.0,,,,Music Generation using Neural Networks Streamlit App.,,,2.0,4,3,,,
75,Arup Social Data,https://share.streamlit.io/arup-group/eviction-data/run.py,arup-group/social-data,non-ml,True,https://github.com/arup-group/social-data,MIT,2020-08-10 13:42:29,2021-01-13 17:34:58,2021-01-08 14:12:25,,,1.0,2.0,96.0,,,,Code and data for eviction and housing analysis in the US.,,,4.0,6,2,,,
76,Player,https://share.streamlit.io/okld/streamlit-player-demo/main/app.py,okld/streamlit-player,extension,True,https://github.com/okld/streamlit-player,MIT,2020-12-10 17:02:22,2020-12-17 19:22:59,2020-12-17 18:57:35,,,,2.0,,,,,A streamlit component to embed video and music players from various websites.,2.0,2.0,,5,3,https://raw.githubusercontent.com/okld/streamlit-player-demo/main/app.png,,
77,GloVe Explorer,https://github.com/dkajtoch/glove_streamlit,dkajtoch/glove_streamlit,nlp,True,https://github.com/dkajtoch/glove_streamlit,,2019-10-14 21:14:14,2019-10-14 21:19:49,2019-10-14 21:19:32,,,,2.0,2.0,,,,Demonstration project of using Streamlit with word embeddings.,,,,2,3,https://github.com/dkajtoch/glove_streamlit/raw/master/screenshots/streamlit_glove_001.png,,
78,Disqus,https://share.streamlit.io/okld/streamlit-disqus-demo/main/app.py,okld/streamlit-disqus,extension,True,https://github.com/okld/streamlit-disqus,MIT,2020-12-10 19:10:31,2020-12-17 19:09:27,2020-12-17 19:09:02,,,,1.0,,,,,A streamlit component to embed Disqus in your applications.,3.0,3.0,,6,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadc19b3ab50d39d611dc_app2.jpg,,
79,Travelling Salesman,https://github.com/miclindahl/tsp-streamlit/,miclindahl/tsp-streamlit,business,True,https://github.com/miclindahl/tsp-streamlit,,2020-01-16 08:16:19,2020-01-16 08:30:54,2020-01-16 08:30:53,3.0,,,1.0,4.0,,,,Animation of solving the traveling salesman problem to optimality using mixed-integer programming and iteratively..,,,,4,3,https://github.com/miclindahl/tsp-streamlit/raw/master/tsp_subtours.gif,,
80,Liverpool Analyzer,https://liverpoolanalyzer.herokuapp.com/,saeeeeru/Last-Row,non-ml,True,https://github.com/saeeeeru/Last-Row,,2020-04-27 23:36:02,2020-08-18 07:00:21,2020-08-18 06:59:06,2.0,,,1.0,46.0,,,,Last row tracking data and code.,,,4.0,4,3,,,
81,Discourse,https://share.streamlit.io/okld/streamlit-discourse-demo/main/app.py,okld/streamlit-discourse,extension,True,https://github.com/okld/streamlit-discourse,MIT,2020-12-16 22:14:54,2020-12-17 19:22:43,2020-12-17 18:36:41,1.0,,,,,,,,A streamlit component to embed Discourse topics in your applications.,2.0,2.0,,5,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5fdbadaf22a77e5914b03977_app3.jpg,,
82,Interactive COVID-19,https://covid19.multivacplatform.org/,,sci-tech,True,,,,,,,,,,,,,,"Analyze the cumulative data of confirmed, deaths, and recovered cases over time.",,,,1,3,,,
83,Zero Shot Topic Classification,https://huggingface.co/zero-shot/,,nlp,True,,,,,,,,,,,,,,"This demo shows how Transformers can be used for zero-shot topic classification, the task of predicting a topic that..",,,,1,3,,,
