,name,homepage,image,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,release_count,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads
10,Drawable Canvas,https://share.streamlit.io/andfanilo/streamlit-drawable-canvas-demo/master/app.py,https://github.com/andfanilo/streamlit-drawable-canvas/raw/master/img/demo.gif,andfanilo/streamlit-drawable-canvas,extension,True,https://github.com/andfanilo/streamlit-drawable-canvas,MIT,2020-05-10 15:37:54,2020-11-27 15:00:54,2020-11-27 15:00:52,9.0,9.0,15.0,65.0,56.0,"Do you like Quick, Draw? Well what if you could train/predict doodles drawn inside Streamlit? Also draws lines,..",71.0,71.0,3.0,13,1,,,,,
11,E2E ML App w/ PyTorch,https://github.com/madewithml/e2e-ml-app-pytorch,,madewithml/e2e-ml-app-pytorch,ml,True,https://github.com/madewithml/e2e-ml-app-pytorch,MIT,2020-04-29 22:50:19,2020-07-29 19:20:26,2020-06-21 00:52:56,15.0,,,61.0,19.0,"An end-to-end ML applications using PyTorch, W&B, FastAPI, Docker, Streamlit and Heroku https://e2e-ml-app-..",,,,8,3,,,,,
12,Year on Github,http://gh2020.jrieke.com/,https://github.com/jrieke/year-on-github/raw/main/images/demo.gif,jrieke/year-on-github,non-ml,True,https://github.com/jrieke/year-on-github,MIT,2020-12-20 16:18:16,2021-01-07 22:13:24,2021-01-07 22:13:18,,,1.0,61.0,,Share your Github stats for 2020 on Twitter.,,,2.0,6,3,,,,,
13,ContainDS Dashboards,https://github.com/ideonate/cdsdashboards,https://github.com/ideonate/cdsdashboards/raw/master/docs/_static/screenshots/AppCollage.png,ideonate/cdsdashboards,extension,True,https://github.com/ideonate/cdsdashboards,,2020-04-28 13:51:31,2021-01-06 09:17:33,2021-01-06 09:17:11,13.0,10.0,34.0,60.0,360.0,JupyterHub extension for ContainDS Dashboards.,,,8.0,9,3,,,,,
14,Terran Timeline,https://github.com/pento-group/streamlit-terran-timeline/,https://raw.githubusercontent.com/pento-group/streamlit-terran-timeline/master/resources/animation.gif,pento-group/streamlit-terran-timeline/,extension,True,https://github.com/pento-group/streamlit-terran-timeline,MIT,2020-08-05 14:54:15,2020-08-26 17:04:21,2020-08-26 17:04:20,6.0,,,51.0,24.0,Using Terran for creating video timelines.,1.0,1.0,,8,3,,,,,
15,ECharts,https://share.streamlit.io/andfanilo/streamlit-echarts-demo/master/app.py,https://github.com/andfanilo/streamlit-echarts/raw/master/img/demo.gif,andfanilo/streamlit-echarts,extension,True,https://github.com/andfanilo/streamlit-echarts,MIT,2020-05-04 17:10:16,2020-10-16 16:31:54,2020-10-16 16:30:39,7.0,4.0,1.0,50.0,58.0,A Streamlit custom component to render ECharts in Streamlit.,20.0,20.0,4.0,11,2,,,,,
16,Annotated Text,https://github.com/tvst/st-annotated-text,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f47a38cd2fa4ae6e089154c_annotated-text.jpg,tvst/st-annotated-text,extension,True,https://github.com/tvst/st-annotated-text,,2020-08-02 21:15:25,2020-11-12 23:36:37,2020-11-12 23:36:36,6.0,4.0,1.0,47.0,7.0,A simple component to display annotated text in Streamlit apps.,21.0,21.0,2.0,7,3,,,,,
17,Pandas Profiling,https://github.com/okld/streamlit-pandas-profiling,https://raw.githubusercontent.com/okld/streamlit-pandas-profiling/master/examples/streamlit_pandas_profiling_demo.gif,okld/streamlit-pandas-profiling,extension,True,https://github.com/okld/streamlit-pandas-profiling,MIT,2020-06-27 17:22:56,2021-01-05 20:15:27,2021-01-05 20:00:00,5.0,,8.0,45.0,10.0,Pandas profiling component for Streamlit.,58.0,58.0,2.0,11,2,,,,,
18,chime soundboard,http://chime-soundboard.herokuapp.com/,,MaxHalford/chime,audio,True,https://github.com/MaxHalford/chime,MIT,2020-10-04 17:34:48,2020-11-25 07:50:20,2020-11-25 07:50:18,4.0,1.0,8.0,44.0,,Python sound notifications made easy.,,,3.0,8,1,,,,,
19,Folium,https://share.streamlit.io/randyzwitch/streamlit-folium/examples/streamlit_app.py,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f1f0d5c15373567513a6b42_streamlit_folium_example.jpg,randyzwitch/streamlit-folium,extension,True,https://github.com/randyzwitch/streamlit-folium,MIT,2020-07-17 16:13:51,2020-12-03 18:29:09,2020-12-03 18:29:08,7.0,5.0,,43.0,10.0,Streamlit Component for rendering Folium maps.,,,,12,2,2.0,2020-08-13 14:07:24,0.1.0,,
20,Ace,https://share.streamlit.io/okld/streamlit-ace/demo/,https://raw.githubusercontent.com/okld/streamlit-ace/master/demo/streamlit_ace_demo.gif,okld/streamlit-ace,extension,True,https://github.com/okld/streamlit-ace,MIT,2020-06-20 19:35:29,2020-12-12 23:24:32,2020-11-23 19:49:52,7.0,4.0,4.0,34.0,30.0,Streamlit component featuring the Ace code editor.,25.0,25.0,4.0,13,1,2.0,,,2.0,0.0
21,FarolCovid,https://farolcovid.coronacidades.org/,,ImpulsoGov/farolcovid,sci-tech,True,https://github.com/ImpulsoGov/farolcovid,MIT,2020-04-01 20:48:15,2020-12-19 02:27:05,2020-12-19 02:20:14,7.0,11.0,36.0,34.0,937.0,. Ferramenta de monitoramento do risco de colapso no sistema de sade em municpios brasileiros com a Covid-19..,,,18.0,11,1,,,,,
22,COCO Explorer,https://github.com/i008/COCO-dataset-explorer,https://github.com/i008/COCO-dataset-explorer/raw/master/static/demo1.png,i008/COCO-dataset-explorer,cv,True,https://github.com/i008/COCO-dataset-explorer,,2020-04-23 09:02:23,2020-10-20 13:50:24,2020-10-20 13:50:22,2.0,,1.0,34.0,16.0,Streamlit tool to explore coco datasets.,,,2.0,4,3,,,,,
23,Torchserve Dashboard,https://github.com/cceyda/torchserve-dashboard,https://github.com/cceyda/torchserve-dashboard/raw/master/assets/dashboard_demo.gif,cceyda/torchserve-dashboard,ml,True,https://github.com/cceyda/torchserve-dashboard,,2020-09-29 08:49:32,2020-10-15 08:17:41,2020-10-15 08:17:40,,,,29.0,14.0,Management Dashboard for Torchserve.,,,2.0,6,3,3.0,2020-10-15 08:12:54,0.2.3,,
24,Object detection app,https://github.com/robmarkcole/object-detection-app,https://github.com/robmarkcole/object-detection-app/raw/master/images/usage.jpg,robmarkcole/object-detection-app,cv,True,https://github.com/robmarkcole/object-detection-app,Apache-2.0,2019-12-23 08:24:15,2019-12-23 15:34:56,2019-12-23 15:30:59,9.0,1.0,,27.0,14.0,Simple object detection app with streamlit.,,,,9,1,3.0,2019-12-23 15:34:56,0.3,,
25,Observable,https://streamlit-observable.herokuapp.com/,,asg017/streamlit-observable,extension,True,https://github.com/asg017/streamlit-observable,MIT,2020-07-23 07:56:48,2020-10-15 02:21:38,2020-10-15 02:21:37,4.0,1.0,1.0,24.0,22.0,Embed Observable notebooks into Streamlit apps!.,4.0,4.0,6.0,10,2,,,,,
26,Vega-Lite,https://github.com/domoritz/streamlit-vega-lite,https://github.com/domoritz/streamlit-vega-lite/raw/master/demo.gif,domoritz/streamlit-vega-lite,extension,True,https://github.com/domoritz/streamlit-vega-lite,MIT,2020-09-02 16:53:49,2020-10-06 19:03:28,2020-10-06 19:03:27,1.0,5.0,2.0,23.0,32.0,"A Streamlit component to render interactive Vega, Vega-Lite, and Altair visualizations and access the selected data..",5.0,5.0,2.0,7,3,,,,,
27,Bokeh Events,https://github.com/ash2shukla/streamlit-bokeh-events,https://github.com/ash2shukla/streamlit-bokeh-events/raw/master/assets/plots.gif,ash2shukla/streamlit-bokeh-events,extension,True,https://github.com/ash2shukla/streamlit-bokeh-events,MIT,2020-07-18 21:27:06,2020-12-22 01:32:06,2020-12-22 01:31:12,6.0,,2.0,22.0,25.0,A streamlit component for bi-directional communication with bokeh plots.,7.0,7.0,3.0,11,2,,,,,
28,D3 Demo in Streamlit,https://github.com/andfanilo/streamlit-d3-demo,https://github.com/andfanilo/streamlit-d3-demo/raw/master/images/demo.gif,andfanilo/streamlit-d3-demo,extension,True,https://github.com/andfanilo/streamlit-d3-demo,MIT,2020-06-01 00:45:11,2020-07-06 17:09:20,2020-07-06 17:05:51,6.0,,,22.0,26.0,D3 in React in Streamlit tech demo.,,,3.0,9,3,,,,,
29,Agraph,https://github.com/ChrisChross/streamlit-agraph,https://github.com/ChrisChross/streamlit-agraph/raw/master/imgs/example2.png,ChrisChross/streamlit-agraph,extension,True,https://github.com/ChrisChross/streamlit-agraph,MIT,2020-10-28 23:36:42,2020-12-09 23:08:57,2020-12-09 23:08:52,2.0,7.0,2.0,22.0,20.0,A Streamlit Graph Vis.,3.0,3.0,2.0,7,3,,,,,
30,Style transfer web app,https://github.com/amalshaji/style-transfer,,amalshaji/style-transfer,cv,True,https://github.com/amalshaji/style-transfer,,2020-08-30 08:18:37,2020-12-17 18:50:09,2020-09-08 14:52:11,6.0,,,22.0,17.0,style transfer web app [FastAPI + streamlit + Docker].,,,3.0,6,3,,,,,
31,Covid-19 Data Explorer,https://covid19.cwerner.ai/,https://github.com/cwerner/covid19/raw/master/assets/screenshot.png?raw=true,cwerner/covid19,sci-tech,True,https://github.com/cwerner/covid19,Apache-2.0,2020-03-07 14:09:20,2020-11-12 13:31:36,2020-11-12 13:31:29,3.0,1.0,2.0,20.0,30.0,Dashboard for the COVID19 spread.,,,,9,2,,,,,
32,Cropper,https://github.com/turner-anderson/streamlit-cropper,https://github.com/turner-anderson/streamlit-cropper/raw/master/img/demo.gif,turner-anderson/streamlit-cropper,extension,True,https://github.com/turner-anderson/streamlit-cropper,MIT,2020-08-22 19:47:57,2020-09-28 01:47:02,2020-09-28 01:46:54,2.0,,2.0,19.0,9.0,A simple image cropper for Streamlit.,7.0,7.0,,6,3,,,,,
