,name,homepage,github_id,category,show,github_url,license,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,projectrank_placing,image,new_addition,trending,github_release_downloads,monthly_downloads,updated_github_id
66,3dmol,https://github.com/napoles-uach/streamlit_3dmol,napoles-uach/streamlit_3dmol,extension,True,https://github.com/napoles-uach/streamlit_3dmol,MIT,2020-07-29 19:00:23,2020-08-14 19:06:22,2020-08-14 19:06:22,1.0,,,13.0,30.0,,,,This project aims to provide an easy way to create a web app for interacting with molecular structures using Streamlit.,1.0,1.0,3.0,7,3,https://assets.website-files.com/5dc3d949429c1addc4f8dac2/5f341f27935a5c69dd31edff_stmol_image.jpg,,,,,
67,Board Game Exploration,https://bgexploration.herokuapp.com/,MaartenGr/boardgame,non-ml,True,https://github.com/MaartenGr/boardgame,,2019-10-21 12:45:15,2019-11-07 06:19:08,2019-11-07 06:19:07,10.0,1.0,,13.0,23.0,,,,Heroku app to explore boardgame data.,,,3.0,6,3,https://github.com/MaartenGr/boardgame/raw/master/images/streamlit_gif_large.gif,,,,,
68,Marketing Campaign App,https://github.com/Ivyw1219/Marketing_Campaign_APP,Ivyw1219/Marketing_Campaign_APP,business,True,https://github.com/Ivyw1219/Marketing_Campaign_APP,,2020-04-08 13:27:31,2020-04-08 18:53:29,2020-04-08 18:53:28,5.0,,,12.0,38.0,,,,"A streamlit APP DEMO (python, plotly).",,,,6,3,https://github.com/Ivyw1219/Marketing_Campaign_APP/raw/master/app-preview.gif,,,,,
69,Covid19-Scotland,https://github.com/heyad/covid19,heyad/covid19,sci-tech,True,https://github.com/heyad/covid19,,2020-04-12 23:12:34,2020-04-22 17:09:04,2020-04-22 17:07:51,2.0,,,12.0,12.0,,,,"Load, explore and analyse data from Scotland and rest of the world related to Covid19.",,,,4,3,https://github.com/heyad/covid19/raw/master/covid19_Scotland/figures/intro.png,,,,,
70,Resume App,http://54.147.143.114:8501/,alphadatagamma/Streamlit-Resume-App,non-ml,True,https://github.com/alphadatagamma/Streamlit-Resume-App,,2020-06-29 02:04:12,2020-07-30 03:05:17,2020-07-30 03:04:06,6.0,,,10.0,14.0,,,,Interactive resume created on Streamlit and hosted on AWS EC2.,,,,5,3,,,,,,
71,Arup Social Data,https://share.streamlit.io/arup-group/eviction-data/run.py,arup-group/social-data,non-ml,True,https://github.com/arup-group/social-data,MIT,2020-08-10 13:42:29,2021-04-05 14:27:59,2021-04-05 14:27:59,3.0,,1.0,9.0,154.0,,,,Code and data for eviction and housing analysis in the US.,,,6.0,10,1,,,,,,
72,Apache JMeter,https://github.com/QAInsights/Streamlit-JMeter,QAInsights/Streamlit-JMeter,non-ml,True,https://github.com/QAInsights/Streamlit-JMeter,MIT,2019-12-07 22:24:19,2021-04-12 22:18:06,2019-12-24 19:55:55,8.0,1.0,1.0,9.0,62.0,,,1.0,Powering up Apache JMeter with Streamlit and opening the door for machine learning.,,,,9,1,https://github.com/QAInsights/Streamlit-JMeter/raw/master/images/About.png,,,,,
73,Squote,https://github.com/cjwallace/squote,cjwallace/squote,nlp,True,https://github.com/cjwallace/squote,MIT,2019-10-25 00:20:21,2021-03-25 23:02:30,2020-09-30 22:57:44,1.0,,1.0,9.0,22.0,,,,Semantic search for quotes.,,,2.0,7,2,https://user-images.githubusercontent.com/6513950/67687144-bee79b80-f98f-11e9-975f-76c71207f7a0.gif,,,,,
74,Face Mask Detector,https://github.com/virtualramblas/streamlit-face-mask-detector,virtualramblas/streamlit-face-mask-detector,cv,True,https://github.com/virtualramblas/streamlit-face-mask-detector,,2020-05-17 20:15:19,2020-11-13 18:51:20,2020-05-18 17:04:25,8.0,,2.0,9.0,7.0,,,,A simple Streamlit frontend for a pre-trained MobileNet CNN model + OpenCV for face mask detection in images.,,,,5,3,https://github.com/virtualramblas/streamlit-face-mask-detector/raw/master/images/demo_image.PNG,,,,,
75,Help Me Read,https://github.com/Anku5hk/Help-Me-Read/tree/master/Streamlit-Version,Anku5hk/Help-Me-Read,nlp,True,https://github.com/Anku5hk/Help-Me-Read,MIT,2020-09-16 06:20:36,2021-04-16 04:01:47,2021-04-16 04:01:46,,,,8.0,91.0,,,,"Awesome app created with Streamlit + HuggingFace to get summary, question-answer, translate to language from given..",,,2.0,7,2,https://github.com/Anku5hk/Help-Me-Read/raw/master/Streamlit-Version/screens/summarize.png,,,,,
